Event,Year,Domain,Day,Normalized_Price,Daily_Return_Pct
Cybertruck Reveal,2019,Electric Vehicles,-6,97.54248578498972,-1.0916495379750035
Cybertruck Reveal,2019,Electric Vehicles,-5,98.4556055224687,0.9361251460125342
Cybertruck Reveal,2019,Electric Vehicles,-4,99.25035116733659,0.8072121852793046
Cybertruck Reveal,2019,Electric Vehicles,-3,98.6359685820435,-0.6190230846208622
Cybertruck Reveal,2019,Electric Vehicles,-2,101.32176474719378,2.722937893509192
Cybertruck Reveal,2019,Electric Vehicles,-1,99.26443736989715,-2.0304890883314552
Cybertruck Reveal,2019,Electric Vehicles,0,100.0,0.741013246629163
Cybertruck Reveal,2019,Electric Vehicles,1,93.85903654083504,-6.140963459164972
Cybertruck Reveal,2019,Electric Vehicles,2,94.78905649615427,0.9908688492819007
Cybertruck Reveal,2019,Electric Vehicles,3,92.69791255701504,-2.2061027047189374
Cybertruck Reveal,2019,Electric Vehicles,4,93.36584206343275,0.7205442797936445
Cybertruck Reveal,2019,Electric Vehicles,5,92.98537752192009,-0.40749864522633406
Cybertruck Reveal,2019,Electric Vehicles,6,94.37477539279904,1.4942111414791182
Cybertruck Reveal,2019,Electric Vehicles,7,94.74960384067126,0.39717016153113516
Cybertruck Reveal,2019,Electric Vehicles,8,93.8562144624743,-0.9428951066637326
Cybertruck Reveal,2019,Electric Vehicles,9,93.10656562981089,-0.7987205077007897
Cybertruck Reveal,2019,Electric Vehicles,10,94.66224035770408,1.6708539482365836
Cybertruck Reveal,2019,Electric Vehicles,11,95.68807390491062,1.0836776557687555
Cybertruck Reveal,2019,Electric Vehicles,12,98.31187304001618,2.7420335973247223
Cybertruck Reveal,2019,Electric Vehicles,13,99.3997116803485,1.1065180701923305
Cybertruck Reveal,2019,Electric Vehicles,14,101.36685349631722,1.9790216517877823
Cybertruck Reveal,2019,Electric Vehicles,15,101.00330529880691,-0.35864603168681564
Cybertruck Reveal,2019,Electric Vehicles,16,107.51627512748337,6.448273954410277
Cybertruck Reveal,2019,Electric Vehicles,17,106.8089010286637,-0.6579228102730705
Cybertruck Reveal,2019,Electric Vehicles,18,110.7995375339244,3.7362396455982383
Cybertruck Reveal,2019,Electric Vehicles,19,113.86862031894806,2.769941872802484
Cybertruck Reveal,2019,Electric Vehicles,20,114.30544579686503,0.3836223506470837
Cybertruck Reveal,2019,Electric Vehicles,21,118.14672178911383,3.3605362941982797
Cybertruck Reveal,2019,Electric Vehicles,22,119.84612899945952,1.4383871042812801
Cybertruck Reveal,2019,Electric Vehicles,23,121.44971455483689,1.3380370052541224
Cybertruck Reveal,2019,Electric Vehicles,24,121.29188780674278,-0.12995234173469594
Cybertruck Reveal,2019,Electric Vehicles,25,116.87287593248523,-3.643287242176041
Cybertruck Reveal,2019,Electric Vehicles,26,117.8958954644121,0.8753267375039453
Cybertruck Reveal,2019,Electric Vehicles,27,121.25807124490021,2.85181750157113
Cybertruck Reveal,2019,Electric Vehicles,28,124.851342990808,2.963325829792085
Cybertruck Reveal,2019,Electric Vehicles,29,127.25531028469368,1.925463704513497
Cybertruck Reveal,2019,Electric Vehicles,30,132.19288308927597,3.880052465815398
Tesla Bot Announcement,2021,Robotics/AI,-30,96.93230308471684,1.2658037290573132
Tesla Bot Announcement,2021,Robotics/AI,-29,97.54703195862857,0.6341837079579804
Tesla Bot Announcement,2021,Robotics/AI,-28,101.81596510156179,4.37628194032984
Tesla Bot Announcement,2021,Robotics/AI,-27,99.26796693650437,-2.50255268170938
Tesla Bot Announcement,2021,Robotics/AI,-26,97.01694045687461,-2.2676262535623493
Tesla Bot Announcement,2021,Robotics/AI,-25,96.60415314470455,-0.4254796226577984
Tesla Bot Announcement,2021,Robotics/AI,-24,95.6568222364372,-0.9806316575730722
Tesla Bot Announcement,2021,Robotics/AI,-23,95.95378712477427,0.3104482057777691
Tesla Bot Announcement,2021,Robotics/AI,-22,98.07415313179007,2.209778342837665
Tesla Bot Announcement,2021,Robotics/AI,-21,97.30054226509101,-0.7888019850240235
Tesla Bot Announcement,2021,Robotics/AI,-20,96.4051819115553,-0.9202007847976312
Tesla Bot Announcement,2021,Robotics/AI,-19,95.53209562391753,-0.9056424875986235
Tesla Bot Announcement,2021,Robotics/AI,-18,97.64651417665789,2.2133069927244398
Tesla Bot Announcement,2021,Robotics/AI,-17,95.73997104575346,-1.952494819687245
Tesla Bot Announcement,2021,Robotics/AI,-16,96.06663922001482,0.34120354402995545
Tesla Bot Announcement,2021,Robotics/AI,-15,100.57612139930072,4.694118807422987
Tesla Bot Announcement,2021,Robotics/AI,-14,102.03869216635988,1.4541928508582602
Tesla Bot Announcement,2021,Robotics/AI,-13,105.37514604398793,3.2697928666004517
Tesla Bot Announcement,2021,Robotics/AI,-12,105.38553879551613,0.009862621233169833
Tesla Bot Announcement,2021,Robotics/AI,-11,105.56074739992593,0.1662548831768751
Tesla Bot Announcement,2021,Robotics/AI,-10,106.1116312018269,0.5218642492307302
Tesla Bot Announcement,2021,Robotics/AI,-9,103.80566383887306,-2.1731523084098314
Tesla Bot Announcement,2021,Robotics/AI,-8,105.98244569787327,2.0969779282747014
Tesla Bot Announcement,2021,Robotics/AI,-7,105.42265770728561,-0.5281893495678203
Tesla Bot Announcement,2021,Robotics/AI,-6,105.10044842445818,-0.3056357047287239
Tesla Bot Announcement,2021,Robotics/AI,-5,107.24308170028134,2.0386528392057013
Tesla Bot Announcement,2021,Robotics/AI,-4,106.48878136797836,-0.7033557040173943
Tesla Bot Announcement,2021,Robotics/AI,-3,101.88575083075742,-4.3225497353706395
Tesla Bot Announcement,2021,Robotics/AI,-2,98.84775720139855,-2.981764971635026
Tesla Bot Announcement,2021,Robotics/AI,-1,102.3044788001123,3.497015710402862
Tesla Bot Announcement,2021,Robotics/AI,0,100.0,-2.252568828990298
Tesla Bot Announcement,2021,Robotics/AI,1,101.00820565168567,1.0082056516856674
Tesla Bot Announcement,2021,Robotics/AI,2,104.87475103106767,3.8279517534598018
Tesla Bot Announcement,2021,Robotics/AI,3,105.19993064248752,0.31006472789958384
Tesla Bot Announcement,2021,Robotics/AI,4,105.60232520312935,0.38250458739306215
Tesla Bot Announcement,2021,Robotics/AI,5,104.11153971298741,-1.411697599720807
Tesla Bot Announcement,2021,Robotics/AI,6,105.70923664118506,1.534601190801843
Tesla Bot Announcement,2021,Robotics/AI,7,108.52896209717977,2.667435264494311
Tesla Bot Announcement,2021,Robotics/AI,8,109.24317318912082,0.658083407543808
Tesla Bot Announcement,2021,Robotics/AI,9,109.00114238701724,-0.22155233598404322
Tesla Bot Announcement,2021,Robotics/AI,10,108.74871883338544,-0.2315788147756681
Tesla Bot Announcement,2021,Robotics/AI,11,108.92392743779524,0.16111325842673718
Tesla Bot Announcement,2021,Robotics/AI,12,111.7971052142725,2.637783858939624
Tesla Bot Announcement,2021,Robotics/AI,13,111.93816523550527,0.12617502122473923
Tesla Bot Announcement,2021,Robotics/AI,14,112.08516591392285,0.1313231087076927
Tesla Bot Announcement,2021,Robotics/AI,15,109.32484023268616,-2.4627038366134335
Tesla Bot Announcement,2021,Robotics/AI,16,110.32414169568514,0.914066245943812
Tesla Bot Announcement,2021,Robotics/AI,17,110.54538019764173,0.20053498586631857
Tesla Bot Announcement,2021,Robotics/AI,18,112.22919626374805,1.5231899000174076
Tesla Bot Announcement,2021,Robotics/AI,19,112.40144133665602,0.15347617076681974
Tesla Bot Announcement,2021,Robotics/AI,20,112.77265084562265,0.33025333532406
Tesla Bot Announcement,2021,Robotics/AI,21,108.41908033053164,-3.860484330594227
Tesla Bot Announcement,2021,Robotics/AI,22,109.78662777099541,1.2613531089680885
Tesla Bot Announcement,2021,Robotics/AI,23,111.65159309869641,1.69871810945057
Tesla Bot Announcement,2021,Robotics/AI,24,111.90401665232821,0.22608146164888598
Tesla Bot Announcement,2021,Robotics/AI,25,114.98507664773201,2.7533059916662994
Tesla Bot Announcement,2021,Robotics/AI,26,117.50486688679725,2.191406322043732
Tesla Bot Announcement,2021,Robotics/AI,27,115.45577517181856,-1.7438356123178789
Tesla Bot Announcement,2021,Robotics/AI,28,116.01259283381378,0.4822778775393388
Tesla Bot Announcement,2021,Robotics/AI,29,115.14692896911178,-0.7461809477373404
Tesla Bot Announcement,2021,Robotics/AI,30,115.10832149450079,-0.03352887910832436
Dojo Supercomputer Announcement,2021,AI Infrastructure,-30,96.93230308471684,1.2658037290573132
Dojo Supercomputer Announcement,2021,AI Infrastructure,-29,97.54703195862857,0.6341837079579804
Dojo Supercomputer Announcement,2021,AI Infrastructure,-28,101.81596510156179,4.37628194032984
Dojo Supercomputer Announcement,2021,AI Infrastructure,-27,99.26796693650437,-2.50255268170938
Dojo Supercomputer Announcement,2021,AI Infrastructure,-26,97.01694045687461,-2.2676262535623493
Dojo Supercomputer Announcement,2021,AI Infrastructure,-25,96.60415314470455,-0.4254796226577984
Dojo Supercomputer Announcement,2021,AI Infrastructure,-24,95.6568222364372,-0.9806316575730722
Dojo Supercomputer Announcement,2021,AI Infrastructure,-23,95.95378712477427,0.3104482057777691
Dojo Supercomputer Announcement,2021,AI Infrastructure,-22,98.07415313179007,2.209778342837665
Dojo Supercomputer Announcement,2021,AI Infrastructure,-21,97.30054226509101,-0.7888019850240235
Dojo Supercomputer Announcement,2021,AI Infrastructure,-20,96.4051819115553,-0.9202007847976312
Dojo Supercomputer Announcement,2021,AI Infrastructure,-19,95.53209562391753,-0.9056424875986235
Dojo Supercomputer Announcement,2021,AI Infrastructure,-18,97.64651417665789,2.2133069927244398
Dojo Supercomputer Announcement,2021,AI Infrastructure,-17,95.73997104575346,-1.952494819687245
Dojo Supercomputer Announcement,2021,AI Infrastructure,-16,96.06663922001482,0.34120354402995545
Dojo Supercomputer Announcement,2021,AI Infrastructure,-15,100.57612139930072,4.694118807422987
Dojo Supercomputer Announcement,2021,AI Infrastructure,-14,102.03869216635988,1.4541928508582602
Dojo Supercomputer Announcement,2021,AI Infrastructure,-13,105.37514604398793,3.2697928666004517
Dojo Supercomputer Announcement,2021,AI Infrastructure,-12,105.38553879551613,0.009862621233169833
Dojo Supercomputer Announcement,2021,AI Infrastructure,-11,105.56074739992593,0.1662548831768751
Dojo Supercomputer Announcement,2021,AI Infrastructure,-10,106.1116312018269,0.5218642492307302
Dojo Supercomputer Announcement,2021,AI Infrastructure,-9,103.80566383887306,-2.1731523084098314
Dojo Supercomputer Announcement,2021,AI Infrastructure,-8,105.98244569787327,2.0969779282747014
Dojo Supercomputer Announcement,2021,AI Infrastructure,-7,105.42265770728561,-0.5281893495678203
