Day_Relative_to_Event,CUDA Launch,Tesla V100 Launch,H100 Hopper Launch,DGX-1 Launch,RTX 2080 Ti Launch,A100 Ampere Launch,Arm Acquisition Announcement,Blackwell B200 Announcement
2,-2.071963421201106,5.441504801913921,6.130311338825889,-0.895099620209383,6.044212748914246,8.962680730935023,-2.779229867239963,2.1672044902762755
3,-1.130224488114584,10.73460717400112,4.403576710708124,-0.2517499605172224,7.666210137831508,9.650674283752348,-3.175433529834848,3.3689412431517907
4,-2.7312954813706325,12.795763547481332,6.390445315279636,0.36364337206562514,9.836974825055368,11.699121142181369,-5.305979485580314,6.595442792763784
5,1.3186641203390526,5.3013292364824105,8.038003721880326,0.2517431502061074,11.321795934331046,9.274000495937141,-2.7578857623672848,7.401496471109659
6,1.4834075859144535,9.712267809307985,4.396027199276054,2.7692291347561016,10.708524927896757,12.399560809522004,-1.8217475916908366,4.641906472367863
7,2.5665428312345195,12.246070297121348,2.8728772491943166,3.048962663627086,12.428307730954803,8.55797934231106,-5.814834242068012,2.029278062198836
8,3.061076318464351,14.639513868843213,0.7088040342053459,3.8601251993974017,12.153799722320823,6.160850532178697,-4.072725726914661,2.1491169101442553
9,6.051459073092302,13.096147730888097,3.1518778004959502,3.412612846003804,13.312425913810944,5.6845362987830494,0.011660480691233488,2.1570215968813367
10,7.087413230010697,14.367166392876296,-2.235699925073975,1.5664328482553058,14.53161517238517,10.522343398313815,1.264340942050901,1.1271254848308487
11,6.616529986626363,14.111304532771097,-7.981440015998054,1.958032547430233,12.400054811441109,9.660020791210467,2.746217849884647,0.5754370316624069
12,8.665054408878458,17.066000418198946,-8.731708733221522,1.8461663771262904,10.098922526142108,9.89659233967879,5.113726474106972,-2.882828897532652
13,8.00567642590535,19.566807758985405,-12.837418317780113,1.4545258160846952,9.751734173526705,9.202399572731078,5.766289780707168,-0.5053303995094294
14,9.960003993447009,19.137655609904414,-17.36916383325867,1.958032547430233,10.910368137484383,9.214833765688791,1.4760503833838312,-1.494546715404177
15,9.489093196380516,19.14586653076398,-18.926243362391027,2.0419287700026434,10.131224901244963,11.127184030824399,5.983803451115821,-3.5057630861830003
16,7.487667201483639,18.55163501356676,-16.2909091852125,4.3636455513651695,8.274172548934878,9.69449795902797,6.714066136700669,-1.6008112486798898
17,7.369948686777739,22.158381648225166,-19.853723893764254,1.258742992274997,9.541815370163388,12.696920421165082,8.481427878997948,2.4430400872898383
18,6.192662509550795,21.60540402952138,-17.87437598569569,-0.6153865222717214,11.59667702140701,16.69288616335407,7.508390864069114,-0.3041147001112021
19,7.2522852794361325,23.074505178420512,-16.309754148863544,0.6992895551552358,10.587398793728585,9.585475241292496,6.91798706065665,-2.7743120463111115
20,4.426737835990746,32.00467878997173,-19.009201543356426,-0.5035067313455488,9.412629187154575,11.282915442719265,10.516794882408998,-1.1757531155770495
21,3.932277825246655,23.47067812401025,-23.90664452815662,-2.7692427553783205,9.800195508648546,14.288449433487195,10.689650918353898,-4.996892491600402
22,4.450241126864785,23.776052634075363,-26.42512696398055,-2.1818398014603613,7.499055450882008,12.977196429252658,9.501054794152019,-4.27788529263996
23,4.19124569921463,24.956264888771116,-24.966061416284024,-1.1748331490803676,6.356541584605613,15.063947278068124,8.528047506388736,-13.854499570333678
24,7.110980812809742,25.220369556807178,-29.166039041491555,-1.3146965083603024,7.2649020937239905,14.839714550032435,7.2966814227362065,-10.103449567321954
25,7.74676365930167,25.75682170081015,-30.572301231557276,0.5874097642290632,8.358915762540864,15.378557395185588,4.85929166407173,-6.819285226468407
26,6.946154686187889,25.13784581628471,-25.41849182228709,0.8671160518556098,7.757412271964537,18.686171937588213,6.007116980706928,-9.923686980618507
27,6.475243889121418,29.84228096511643,-30.07465299801688,-0.5035067313455488,7.951187660243986,17.730014687368858,5.069039112477647,-6.583007581423017
28,0.16486286486470103,29.652433314368487,-26.35724619468245,14.629358692752614,13.449695463063026,15.057736142372114,3.7969393802153473,-0.8139583650829674
29,1.012524342530119,31.61674068054503,-26.097112218228713,18.013987970402656,16.81659627013272,18.228336130927403,5.57788643717394,-0.7891052015427613
30,2.6135861512254444,30.708875901816192,-23.337355177066655,18.265792413408775,15.653936167988514,14.054846354862093,2.0897677163873807,-2.320948921398591
